model,kind,question_number,qtype,needs_human,gold_count,status,gradable,precision,recall,f1,pred_count,count_error,missing,extra,hallucinated_mentions,scalar_ok
deepseek-r1_32b (unstable),diagnostic_unstable,7,aggregation,False,1,ERROR,False,,,,,,,,,
deepseek-r1_32b (unstable),diagnostic_unstable,8,aggregation,False,0,ERROR,False,,,,,,,,,
deepseek-r1_32b (unstable),diagnostic_unstable,9,aggregation,False,0,ERROR,False,,,,,,,,,
deepseek-r1_32b (unstable),diagnostic_unstable,10,list,False,10,answered,True,0.5,0.3,0.375,6,,7,3,,
deepseek-r1_32b (unstable),diagnostic_unstable,11,lookup,False,3,answered,True,1.0,1.0,1.0,3,,0,0,,
deepseek-r1_32b (unstable),diagnostic_unstable,12,multi_filter,False,37,ERROR,False,,,,,,,,,
deepseek-r1_32b (unstable),diagnostic_unstable,13,multi_filter,False,6,ERROR,False,,,,,,,,,
deepseek-r1_32b (unstable),diagnostic_unstable,14,list,False,3,answered,True,0.2,0.333,0.25,5,,2,4,,
deepseek-r1_32b (unstable),diagnostic_unstable,15,list,True,0,needs_human,False,,,,5,,,,,
deepseek-r1_32b (unstable),diagnostic_unstable,16,multi_filter,True,0,needs_human,False,,,,3,,,,,
deepseek-r1_32b (unstable),diagnostic_unstable,17,list,True,0,needs_human,False,,,,2,,,,,
deepseek-r1_32b (unstable),diagnostic_unstable,18,multi_filter,False,0,ERROR,False,,,,,,,,,
deepseek-r1_32b (unstable),diagnostic_unstable,19,list,False,1,answered,True,1.0,1.0,1.0,1,,0,0,,
deepseek-r1_32b (unstable),diagnostic_unstable,20,multi_filter,True,0,needs_human,False,,,,0,,,,,
deepseek-r1_32b (unstable),diagnostic_unstable,21,multi_filter,True,0,needs_human,False,,,,4,,,,,
deepseek-r1_32b (unstable),diagnostic_unstable,22,list,True,0,ERROR,False,,,,,,,,,
deepseek-r1_32b (unstable),diagnostic_unstable,23,list,False,1,ERROR,False,,,,,,,,,
deepseek-r1_32b (unstable),diagnostic_unstable,24,multi_filter,True,0,needs_human,False,,,,3,,,,,
deepseek-r1_32b (unstable),diagnostic_unstable,25,multi_filter,False,8,answered,True,0.0,0.0,0.0,4,,8,4,,
deepseek-r1_32b (unstable),diagnostic_unstable,26,multi_filter,False,2,answered,True,0.0,0.0,0.0,0,,2,0,,
deepseek-r1_32b (unstable),diagnostic_unstable,27,aggregation_rank,True,0,ERROR,False,,,,,,,,,
deepseek-r1_32b (unstable),diagnostic_unstable,28,interpretation,True,0,ERROR,False,,,,,,,,,
deepseek-r1_32b (unstable),diagnostic_unstable,29,count,True,0,needs_human,False,,,,10,,,,,
deepseek-r1_32b (unstable),diagnostic_unstable,30,interpretation,True,0,MISSING,False,,,,,,,,,
deepseek-r1_32b (unstable),diagnostic_unstable,31,multi_filter,False,11,MISSING,False,,,,,,,,,
deepseek-r1_32b (unstable),diagnostic_unstable,32,multi_filter,False,3,MISSING,False,,,,,,,,,
deepseek-r1_32b (unstable),diagnostic_unstable,33,list,False,25,MISSING,False,,,,,,,,,
deepseek-r1_32b (unstable),diagnostic_unstable,34,aggregation_rank,True,0,MISSING,False,,,,,,,,,
deepseek-r1_32b (unstable),diagnostic_unstable,35,count,False,6,MISSING,False,,,,,,,,,
deepseek-r1_32b (unstable),diagnostic_unstable,36,interpretation,True,0,MISSING,False,,,,,,,,,
deepseek-r1_32b (unstable),diagnostic_unstable,37,list,False,1,MISSING,False,,,,,,,,,
deepseek-r1_32b (unstable),diagnostic_unstable,38,multi_filter,False,3,MISSING,False,,,,,,,,,
deepseek-r1_32b (unstable),diagnostic_unstable,39,aggregation_rank,False,3,MISSING,False,,,,,,,,,
deepseek-r1_32b (unstable),diagnostic_unstable,40,list,False,7,MISSING,False,,,,,,,,,
deepseek-r1_32b (unstable),diagnostic_unstable,41,interpretation,True,0,MISSING,False,,,,,,,,,
deepseek-r1_32b (unstable),diagnostic_unstable,42,aggregation,True,0,MISSING,False,,,,,,,,,
deepseek-r1_32b (unstable),diagnostic_unstable,43,list,False,3,MISSING,False,,,,,,,,,
deepseek-r1_32b (unstable),diagnostic_unstable,44,interpretation,True,0,MISSING,False,,,,,,,,,
deepseek-r1_32b (unstable),diagnostic_unstable,45,interpretation,True,0,MISSING,False,,,,,,,,,
deepseek-r1_32b (unstable),diagnostic_unstable,46,interpretation,True,0,MISSING,False,,,,,,,,,
deepseek-r1_32b (unstable),diagnostic_unstable,47,interpretation,True,0,MISSING,False,,,,,,,,,
deepseek-r1_32b (unstable),diagnostic_unstable,48,interpretation,True,0,MISSING,False,,,,,,,,,
deepseek-r1_32b (unstable),diagnostic_unstable,49,aggregation,False,2,MISSING,False,,,,,,,,,
deepseek-r1_32b (unstable),diagnostic_unstable,50,aggregation,False,1,MISSING,False,,,,,,,,,
